Province,State,State Code,Latitude,Longitude,Tests,Days Since 1st Case,Total cases (4/14/2020),Deaths (4/14/2020),Population (for demographic %'s),% less than 18 years of age,% 65 and over,% Black,% American Indian & Alaska Native,% Asian,% Native Hawaiian/Other Pacific Islander,% Hispanic,% Non-Hispanic White,% Not Proficient in English,% Female,% Rural,Population Density per Square mile of Land (2010),Housing Density Per Square Mile of Land,Avg Daily March 2011 Sunlight (KJ/m²) Missing HI and AK,GDP 2018,GDP/capita,"Percentage Living in Poverty, All Ages, 2016","Air Quality, Annual Average Ambient Concentrations of PM2.5, 2014",Primary Care Physicians Ratio,Dentist Ratio,Mental Health Provider Ratio,High School Graduation Rate,% Some College,% Unemployed,% Children in Poverty,Income Inequality Ratio (80th%/20th%),% Single-Parent Households,Social Association Rate,Violent Crime Rate,Air pollution: Average Daily PM2.5,Presence of Drinking Water Violation,% Severe Housing Problems,Housing: Severe Cost Burden,Housing: Overcrowding,Housing: Inadequate Facilities,% Drive Alone to Work,% Long Commute - Drives Alone,Sleep <7 Hours_Percent,Sleep <7 Hours_CI_Low,Sleep <7 Hours_CI_High,Diabetes Total Percentage,Diabetes Male Percentage,Diabetes Female Percentage,"Coronary Heart Disease Death Rate per 100,000, All Ages, All Races/Ethnicities, Both Genders, 2014-2016","Hypertension Death Rate per 100,000 (any mention), 35+, All Races/Ethnicities, Both Genders, 2014-2016","Obesity, Age-Adjusted Percentage, 20+. 2015",% Fair or Poor Health,Average Number of Physically Unhealthy Days,Average Number of Mentally Unhealthy Days,% Low Birthweight,% Smokers (adults),% Adults with Obesity,Food Environment Index,% Physically Inactive,% With Access to Exercise Opportunities,% Excessive Drinking,% Uninsured,Preventable Hospitalization Rate (Preventable hospital stays),% With Annual Mammogram,% Flu Vaccinated,Chronic Respiratory Disease: mortality rate per 100K (2014),Liver Disease: crude mortality rate per 100K (1999-2018),Liver Disease: % of Total Deaths (1999-2018),Liver Disease: crude mortality rate per 100K (2018),Liver Disease: % of Total Deaths (2018),Avg Temp Peak Growth-10 Rate,Avg Temp 10 Before First-Current,Avg Temp First-Current,First Case,Stay At Home,No Cases,No Stay At Home Order,Stay At Home Order After First Case
Madison,Illinois,IL,38.83043,-89.9042,"110,616",26,81,2,264461,21.839137,17.1991333,8.66706244,0.33464292,1.03191019,0.0635,3.38121689,84.7622145,0.37696779,51.3092668,13.3406615,376.3,163.7,14793.24,"11,802,499",,15.8,11.6,2194:01:00,1145:01:00,636:01:00,86.9853387,70.1435154,4.51792681,17.3,4.50246804,32.6140749,13.6383501,248.726375,12.6,No,12.0964351,10.584945,1.0512545,1.0512545,85.2631323,37.7,33.090001,32.0126262,34.1934754,9.4,10,8.9,128.2,181.4,28,15.3278554,3.56339361,3.97218398,8.50491122,16.4769642,36.9,7.5,23.9,81.3377797,20.9391018,4.920569,5091,42,51,68.88,14.6165136,0.00090634,17.0157415,0.00080475,10.216,11.08421053,12.00357143,3/18/20,3/21/20,0,0,1
Marion,Illinois,IL,38.64963,-88.919,"110,616",18,45,1,37620,23.2270069,19.6916534,4.17597023,0.35619351,0.6804891,0.0266,2.11057948,90.8904838,0.42034468,51.108453,45.0566727,68.9,32,13949.17,"6,523,486",,9.8,11.5,2707:01:00,2508:01:00,342:01:00,82.0807188,60.9102316,4.9443132,30.2,4.4447371,41.7010735,22.4262572,347.066269,11.6,Yes,12.9419192,9.51320395,2.05176768,1.89393939,85.1719902,24.3,30.9001755,29.6997478,32.1631594,15.2,17.5,13.1,88.5,168.2,29.3,16.7155506,3.97535653,4.21139666,8.78673262,17.383113,29.6,7.2,32.3,64.7285544,18.7218934,6.17341502,6641,42,46,82.9,14.3843498,0.00013332,NA,NA,13.775,12.28846154,12.1,3/30/20,3/21/20,0,0,0
Marshall,Illinois,IL,41.03279,-89.3451,"110,616",13,16,0,11534,19.9497139,23.4610716,0.7282816,0.39882088,0.48552107,0.0173,2.97381654,94.563898,0.20640761,50.3641408,100,32.7,15.3,13535.53,"1,163,098",,15.1,11.2,11730:1,2884:01:00,NA,86.506383,60.6570842,5.19056261,13.6,4.37521558,21.1389129,17.9028133,161.117078,11.5,No,9.48536832,8.30456853,1.00908174,0.20181635,84.5470021,48.3,28.9672762,27.6942969,30.274862,10.9,12.2,9.6,90.7,205.6,30.2,13.4948864,3.48565339,3.86085895,8.11123986,14.4774726,26.5,8.4,26.5,58.3939873,20.258272,5.88628763,3463,43,43,56.02,16.3263356,4.79E-05,NA,NA,,8.05483871,9.942857143,3/25/20,3/21/20,0,0,0
Mason,Illinois,IL,40.23917,-89.9182,"110,616",28,128,2,13565,20.7814228,22.1968301,0.68558791,0.3980833,0.44231478,0.00737,1.09841504,96.3730188,0.00763,50.6892739,77.4853402,27.2,13.1,13320.35,"11,293,639",,20.6,11.2,4572:01:00,2713:01:00,3391:01:00,87.0415233,52.4174725,5.99873378,23.4,4.07311779,39.6723647,14.5825738,363.599636,11.2,No,11.5858669,10.1736973,0.80525883,0.82169269,80.708402,43.1,29.6479374,28.3019674,30.9231015,10.5,11.9,9.1,107.7,290.4,28,14.9060699,3.7456682,4.09022778,8.09061489,16.2403599,29.8,7.4,27.4,54.6706669,19.4149328,6.25294728,4358,44,35,78.89,14.4840642,5.03E-05,NA,NA,9.957142857,10.85238095,10.48181818,4/4/20,3/21/20,0,0,0
Massac,Illinois,IL,37.22078,-88.7104,"110,616",16,14,0,14080,22.0738636,21.0014205,5.703125,0.51846591,0.625,0.0142,2.96875,88.0113636,0.16095991,52.109375,50.5087822,65,30,13293.4,"1,372,400",,20.2,10.8,4781:01:00,2816:01:00,327:01:00,86.3211712,62.4394673,7.01113431,26.1,4.72960547,33.5939944,17.4288901,318.137205,11.2,No,13.8655462,12.4617997,1.51260504,0.33613445,84.7530422,28.3,31.4661711,30.2476667,32.6125341,24.3,29.9,19.1,118,237.8,30.6,16.496836,3.9261385,4.21776944,7.87330317,16.2499284,33.4,7.8,30.9,77.166375,18.1507179,6.14352547,5597,45,47,105.11,19.836678,7.02E-05,NA,NA,15.56,14.05652174,13.54615385,4/2/20,3/21/20,0,0,0
McDonough,Illinois,IL,40.45675,-90.6778,"110,616",21,2,0,29955,17.0789518,17.639793,5.33800701,0.38724754,2.38023702,0.0167,2.79419129,87.7416124,0.51797684,51.0131865,29.5044769,55.3,24.5,15326.03,"403,674",,7.3,12.1,2055:01:00,3328:01:00,491:01:00,89.2524202,71.304215,5.12014372,22.9,6.21630295,29.921875,13.9506213,257.365712,10.8,No,15.1182432,13.4726545,1.9847973,1.09797297,74.8932276,15.2,31.4888555,30.153205,32.826791,8.9,9.8,8.1,81.8,189.6,30.2,17.1754568,4.06708389,4.35172979,6.65988816,16.7492917,34.8,7.4,27.1,72.4549246,20.768386,7.13799519,4206,36,47,61.51,7.73383242,5.85E-05,NA,NA,8.05,9.3,6.975,,3/21/20,1,0,0
McHenry,Illinois,IL,42.32451,-88.4525,"110,616",11,3,0,308570,23.4617753,14.5911787,1.52283112,0.50490975,2.97436562,0.0512,13.4484882,80.6206047,2.46604546,50.2174547,9.87854644,511.9,192.4,14375.69,"577,815",,12.6,11.7,1956:01:00,1599:01:00,518:01:00,93.0902766,70.464739,3.49655409,7.8,3.74395632,19.7374488,6.98753243,95.7313141,12.1,No,13.6999364,12.1498743,1.67105622,0.4677141,82.3789123,49.2,29.7075987,28.8106972,30.6533096,9,9.8,8.2,79.8,160.8,30.2,13.4100503,3.28576271,3.72070968,6.60390108,13.6118001,33,8.9,21.3,91.6715248,22.0392535,5.95374287,4866,42,50,57.84,11.2083023,0.00077536,11.0185695,0.00060803,5.53,6.633333333,6.762857143,3/11/20,3/21/20,0,0,1
McLean,Illinois,IL,40.48997,-88.8462,"110,616",13,3,0,172828,21.487259,13.2270234,7.91538408,0.29451246,5.4152105,0.0527,5.06283704,79.2874997,0.89869281,51.4152799,16.4968273,143.3,58.9,13935.34,"690,326",,9.7,11.1,1758:01:00,1490:01:00,389:01:00,91.5884116,78.267039,4.18709964,10.5,5.17556525,24.281782,11.7824598,287.303943,11.7,Yes,13.7669623,12.4657112,1.55408991,0.59131226,80.6109788,15.6,32.3482127,31.2576313,33.4657371,11,12.5,9.6,80.9,234.1,28.8,14.7193053,3.49996043,3.8027217,7.84231495,14.9737737,33.5,7.7,23.2,83.8652608,21.9441733,5.12815056,4077,55,57,58.63,9.75499807,0.00037657,13.3080288,0.00041132,6.465217391,7.75,8.596153846,3/20/20,3/21/20,0,0,1
Menard,Illinois,IL,40.02743,-89.8025,"110,616",17,2,0,12288,21.9807943,19.3522135,0.86263021,0.33365885,0.38248698,0.0244,1.5625,95.5403646,0,51.2613932,75.6946084,40.4,18,13932.76,"289,134",,10.2,10.8,2449:01:00,6144:01:00,2458:01:00,86.8829662,63.1162289,4.00657796,14.5,3.84738456,33.4331711,8.98325847,83.7668636,11.1,No,11.7816092,9.83446933,1.81992337,0.67049808,82.1203058,49.1,29.9512684,28.7753674,31.1645685,8.1,8.6,7.7,105.6,225.6,30.5,13.0710174,3.42329293,3.86801473,7.88235294,14.6164252,30.1,8.9,22.3,42.1094058,20.987928,5.40731757,3877,41,39,59.34,12.3368845,3.63E-05,NA,NA,11.07777778,9.52962963,10.58823529,3/29/20,3/21/20,0,0,0
Mercer,Illinois,IL,41.20597,-90.7429,"110,616",13,3,0,15601,21.3960644,21.6652779,0.74995193,0.24998398,0.47432857,0.0385,2.5062496,95.0387796,0.0805,50.0544837,77.7595229,29.3,13.1,15105.2,"403,854",,4.8,11.3,5206:01:00,5200:01:00,7801:01:00,87.4,65.0605971,5.28199432,12.6,3.63345433,26.9356274,17.9280318,95.712098,10.8,Yes,8.75856816,6.86198921,0.57882711,1.27951257,89.7197539,47,28.1990852,26.8557556,29.522504,9.7,10.8,8.8,103.7,207.6,32.1,13.7243736,3.43776856,3.83255044,7.51953125,15.1545654,32.6,8.2,24.2,54.4420105,20.1254439,5.34413618,3304,47,44,68.76,16.1427384,6.20E-05,NA,NA,9.09,8.713043478,9.738461538,4/2/20,3/21/20,0,0,0
Monroe,Illinois,IL,38.27594,-90.1776,"110,616",23,47,3,34335,22.0998981,17.7661279,0.36697248,0.23591088,0.66113296,0.0262,1.54070191,96.3215378,0.48244522,50.3189166,41.3599539,85.6,34.8,13215.26,"923,297",,16,11.4,2841:01:00,1226:01:00,763:01:00,92.8590096,80.0303337,3.46329659,4.3,4.26245105,14.3659397,14.0774848,31.1244831,11.3,No,9.63161934,8.50981902,0.7981581,0.72908672,85.6052036,53.3,28.301441,27.082677,29.5799975,7.4,7.7,7,100,143.8,29.6,11.5151697,3.09087082,3.58261129,7.52688172,12.9673207,36.3,9,20.7,78.0137755,21.9093015,3.65905245,5452,48,52,52.27,9.908527,7.37E-05,NA,NA,10.59047619,11.06969697,12.71304348,3/23/20,3/21/20,0,0,0
Montgomery,Illinois,IL,39.23199,-89.4781,"110,616",17,9,1,28601,20.065732,20.1531415,3.50337401,0.22027202,0.5034789,0.0385,1.751687,93.1680711,0.26117237,47.6137198,41.6223758,42.8,18.6,13534.65,"1,324,737",,15.7,10.9,1599:01:00,1589:01:00,1362:01:00,86.096664,54.9753695,5.93726348,20.1,4.5,39.1021127,14.9357416,132.05325,11.4,No,9.74745237,7.97309417,1.24058485,1.24058485,87.3509216,30.4,31.2407823,30.0335563,32.4286496,10.8,12.7,8.9,107.2,412.2,28.3,15.4392065,3.89097232,4.01712368,8.42055186,16.1100204,31,7.8,27.3,44.8511826,20.0189026,5.98144183,5805,44,31,53.98,15.2071684,0.00010642,NA,NA,8.32,9.52962963,10.58823529,3/29/20,3/21/20,0,0,0
Morgan,Illinois,IL,39.71655,-90.2026,"110,616",19,11,1,33976,18.860372,20.0111844,6.87249823,0.42677184,0.76524606,0.0559,2.48116317,87.9238286,0.42265168,49.2376972,36.2280924,62.5,27.3,13878.19,"1,445,898",,10,11.5,2414:01:00,1999:01:00,971:01:00,77.6871642,60.0893612,4.40860874,23.1,4.57080706,36.8470295,14.4978993,169.025988,10.9,Yes,11.4534252,10.0220426,1.08735049,1.12359551,82.4311183,27,31.5995753,30.3833296,32.7968175,12.9,15.3,10.7,94.4,214.8,27.4,15.9111825,3.79936526,4.12671169,9.731413,16.1365253,32.1,7.3,25.9,62.6888345,19.5476987,5.22181702,4656,44,42,68.28,13.9239919,0.00011578,Unreliable,0.00017883,8.647058824,9.348275862,11.05263158,3/27/20,3/21/20,0,0,0
Moultrie,Illinois,IL,39.64187,-88.621,"110,616",13,3,0,14717,25.4059931,18.9033091,0.54358905,0.2582048,0.3125637,0.034,1.52884419,96.4394917,0.38666375,51.0498064,69.2375051,44.2,18.6,13837.74,"692,823",,10.2,11.5,3672:01:00,7359:01:00,818:01:00,96.0644491,63.9846743,3.841042,13.4,3.85048894,17.1009772,13.6165577,NA,11.5,Yes,10.5081826,7.24939299,2.58397933,2.15331611,78.0751792,35.2,29.9562809,28.7311617,31.2060675,3.9,3.6,4.1,72.9,164.5,33.8,14.6021968,3.67586558,4.03443788,7.04879938,15.6962604,24.8,8.8,24.2,68.974808,20.2680792,8.03097904,6196,46,43,63.92,7.50978833,2.57E-05,NA,NA,9.957142857,10.16956522,10.77692308,4/2/20,3/21/20,0,0,0
Ogle,Illinois,IL,42.04165,-89.3218,"110,616",14,26,0,50923,22.4260158,18.7479135,1.0898808,0.3711486,0.69320346,0.0785,10.2841545,86.5777743,2.40268705,50.3328555,47.0998374,70.5,29.7,14432.62,"2,721,329",,15.2,11.9,1547:01:00,2546:01:00,717:01:00,94.1927922,63.3253914,5.04171774,11.2,4.0356754,31.3261339,14.4919022,71.1342229,11.5,Yes,12.5842156,10.7793154,1.68431184,0.60153994,81.2119976,37.2,29.4699161,28.283795,30.5685945,5.8,5.9,5.8,95.2,216.7,32.5,15.0017731,3.5994723,3.87237294,6.36511376,15.0280755,37.1,8.5,28.2,61.9642223,20.1781419,6.64981341,4772,40,49,55.82,13.9588958,0.00017074,Unreliable,0.00028613,8.03,7.354166667,8.621428571,4/1/20,3/21/20,0,0,0
Peoria,Illinois,IL,40.78702,-89.7608,"110,616",29,31,1,180621,23.5958167,17.0611391,18.3179143,0.39751745,4.13074892,0.0687,4.91526456,69.6917856,1.35849145,51.5466086,14.6455114,301.2,134.1,14931.08,"12,040,364",,15.6,11.4,817:01:00,1196:01:00,421:01:00,82.227085,71.2012031,5.54474931,22.8,4.965962,42.4731307,13.8789472,523.778809,11.9,No,13.8584975,12.1737371,1.59140641,0.74928718,82.7265496,14.8,31.5703532,30.7185742,32.4583478,9.5,10.2,8.9,99.4,103.4,30.9,15.6230823,3.729387,3.93947289,9.67601416,16.5955653,35.9,7.4,22,82.0980836,19.0036107,6.32063569,3878,46,49,58.58,12.9513217,0.000559,21.0385282,0.00067957,6.960714286,7.771794872,8.448275862,3/17/20,3/21/20,0,0,1
Perry,Illinois,IL,38.08511,-89.3686,"110,616",#REF!,1,0,21174,19.386984,18.6313403,8.7796354,0.42032682,0.53839615,0.0614,3.22093133,85.6002645,0.0937,44.9371871,43.6420582,50.6,21.3,13693.64,"712,065",,6.8,11.6,1935:01:00,3529:01:00,543:01:00,91.4497013,46.6572338,5.97209082,23.4,5.01201669,36.067997,25.3699789,131.494011,11.4,Yes,12.9171817,11.6,0.72929543,1.17428925,83.4161253,34.2,31.8330726,30.6413034,32.9371918,10.3,11.5,8.9,76.2,201.4,29,15.2808891,3.75406332,3.89214541,7.50853242,16.1458672,32.1,7.5,26.4,79.3825503,20.7072916,5.66087764,5047,41,29,71.71,16.8318054,8.77E-05,NA,NA,,12.12142857,8.35,,3/21/20,1,0,0
